Checking Account,Duration,Credit History,Purpose,Credit Amount,Savings,Present Employment Time,Installment Rate,Personal Status,Guarantors,Residence Time,Property,Age,Other Plans,Housing,Existing Credits,Job,Num of People,Telephone,Foreign Worker,gender,labels
A14,12,A34,A43,1315,A65,A75,3,single,A101,3,A123,43,A143,A151,2,A173,1,A191,A201,male,1
A14,18,A32,A46,4755,A65,A73,2,single,A101,3,A121,43,A143,A152,1,A174,1,A192,A201,male,1
A14,18,A34,A43,2781,A61,A73,2,single,A101,1,A123,21,A143,A152,2,A173,1,A191,A201,male,1
A11,15,A32,A40,874,A61,A73,3,divorced/seperated/married,A101,1,A121,24,A143,A152,1,A173,1,A191,A201,female,0
A14,9,A34,A40,3059,A61,A72,1,single,A101,3,A124,50,A143,A152,1,A172,1,A191,A201,male,1
A11,15,A32,A43,782,A61,A73,3,married/widowed,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,male,1
A11,7,A32,A42,2154,A61,A72,1,single,A101,1,A121,20,A143,A151,1,A173,1,A192,A201,male,1
A13,11,A32,A42,2974,A61,A73,2,divorced/seperated,A101,1,A123,22,A143,A152,1,A173,1,A191,A201,male,0
A13,15,A32,A42,2124,A61,A73,1,divorced/seperated,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,male,1
A14,20,A34,A43,3889,A61,A74,3,single,A102,3,A123,31,A143,A152,1,A173,1,A191,A201,male,1
A12,43,A32,A49,4257,A62,A74,3,single,A101,3,A123,41,A143,A152,1,A173,1,A192,A201,male,1
A11,13,A34,A43,951,A61,A73,3,single,A101,3,A121,26,A141,A152,2,A172,1,A191,A201,male,0
A14,15,A32,A40,640,A61,A72,3,divorced/seperated/married,A101,2,A122,27,A143,A152,1,A173,1,A191,A201,female,1
A14,19,A33,A43,4425,A61,A74,2,single,A101,1,A123,22,A143,A152,2,A173,1,A191,A201,male,1
A14,37,A33,A44,6108,A63,A73,1,divorced/seperated/married,A101,1,A123,27,A143,A152,1,A173,1,A192,A201,female,0
A12,7,A32,A42,4556,A64,A72,1,married/widowed,A101,1,A121,22,A143,A152,1,A173,1,A192,A201,male,1
A14,6,A32,A43,303,A61,A73,2,married/widowed,A101,1,A121,21,A143,A152,1,A173,1,A192,A201,male,1
A14,34,A31,A40,1180,A61,A75,3,single,A101,2,A124,47,A141,A152,1,A174,1,A192,A201,male,0
A12,16,A32,A43,1154,A61,A73,3,married/widowed,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,male,1
A11,7,A32,A40,7441,A61,A74,1,single,A101,3,A123,49,A143,A152,1,A173,1,A191,A201,male,0
A13,12,A32,A43,502,A64,A73,3,married/widowed,A101,1,A121,24,A143,A152,1,A173,1,A191,A201,male,1
