Checking Account,Duration,Credit History,Purpose,Credit Amount,Savings,Present Employment Time,Installment Rate,Personal Status,Guarantors,Residence Time,Property,Age,Other Plans,Housing,Existing Credits,Job,Num of People,Telephone,Foreign Worker,gender,labels
A11,12,A32,A42,1149,A64,A72,1,divorced/seperated,A101,2,A124,54,A143,A153,1,A173,1,A191,A201,male,1
A12,22,A34,A43,2454,A65,A73,2,single,A101,1,A122,49,A141,A152,2,A173,1,A191,A201,male,1
A11,11,A32,A40,1849,A61,A71,1,single,A101,3,A121,35,A143,A152,1,A174,2,A192,A201,male,1
A14,16,A32,A42,2748,A62,A73,3,single,A101,3,A123,35,A143,A152,1,A172,1,A191,A201,male,1
A11,17,A31,A48,2463,A61,A74,3,single,A101,3,A122,32,A143,A151,1,A174,1,A192,A201,male,0
A14,18,A32,A45,4210,A65,A73,1,divorced/seperated,A101,2,A124,38,A143,A153,1,A173,1,A191,A201,male,1
A12,16,A34,A43,2613,A62,A74,3,single,A101,3,A123,44,A141,A152,2,A173,1,A191,A201,male,1
A12,12,A34,A46,2107,A61,A74,3,single,A101,2,A123,33,A143,A152,2,A173,1,A192,A201,male,1
A14,26,A32,A40,3959,A65,A73,3,divorced/seperated/married,A101,3,A123,31,A143,A152,1,A173,1,A192,A201,female,1
A14,13,A34,A43,550,A62,A74,3,single,A101,1,A123,43,A141,A152,1,A173,1,A191,A201,male,1
A14,24,A34,A41,3878,A61,A75,1,divorced/seperated/married,A101,2,A121,31,A143,A151,1,A174,1,A191,A201,female,1
A11,24,A33,A40,3483,A61,A75,1,divorced/seperated/married,A101,3,A124,52,A143,A153,1,A174,1,A191,A201,female,0
A13,13,A34,A40,2621,A61,A74,3,single,A101,3,A123,50,A143,A152,2,A173,1,A192,A201,male,1
A11,20,A34,A42,2616,A64,A75,3,married/widowed,A101,3,A123,50,A143,A152,2,A173,1,A192,A201,male,1
A14,7,A32,A42,1933,A64,A72,3,divorced/seperated/married,A101,3,A123,20,A143,A151,1,A172,1,A191,A201,female,1
A12,19,A34,A40,3073,A61,A73,2,married/widowed,A101,1,A122,37,A143,A152,1,A174,1,A192,A201,male,1
A11,33,A32,A43,1855,A61,A73,3,married/widowed,A101,2,A121,20,A143,A152,1,A173,1,A191,A201,male,0
A14,35,A32,A43,3630,A65,A75,3,divorced/seperated/married,A101,1,A123,43,A143,A152,1,A173,1,A192,A201,female,1
A14,32,A34,A42,3726,A61,A71,3,divorced/seperated/married,A101,3,A123,28,A143,A152,1,A173,1,A192,A201,female,1
A11,27,A33,A40,6591,A61,A75,1,single,A101,3,A124,41,A143,A153,2,A174,2,A192,A201,male,0
A12,60,A30,A49,9564,A62,A74,3,divorced/seperated,A101,3,A123,29,A143,A152,1,A173,1,A191,A201,male,1
A11,16,A34,A41,3636,A61,A74,2,single,A101,2,A123,36,A143,A152,2,A173,1,A191,A201,male,1
A14,24,A34,A43,2468,A61,A75,2,divorced/seperated/married,A101,1,A122,38,A143,A151,1,A173,1,A191,A201,female,1
A12,7,A32,A48,1278,A61,A73,3,single,A101,3,A121,51,A143,A152,1,A172,1,A192,A201,male,1
A11,12,A34,A42,1663,A64,A75,3,single,A101,3,A122,48,A143,A152,1,A173,1,A191,A201,male,1
A12,11,A33,A41,1563,A61,A72,3,single,A101,1,A122,26,A143,A151,1,A171,1,A192,A201,male,1
