Checking Account,Duration,Credit History,Purpose,Credit Amount,Savings,Present Employment Time,Installment Rate,Personal Status,Guarantors,Residence Time,Property,Age,Other Plans,Housing,Existing Credits,Job,Num of People,Telephone,Foreign Worker,gender,labels
A13,34,A34,A41,6201,A61,A75,3,single,A101,3,A124,53,A143,A153,1,A173,1,A191,A201,male,0
A14,10,A32,A42,3176,A61,A73,3,married/widowed,A101,3,A122,21,A143,A152,1,A173,1,A191,A201,female,1
A14,12,A32,A43,1614,A65,A75,3,single,A101,1,A123,23,A143,A152,1,A173,1,A191,A201,male,1
A12,21,A34,A40,3889,A61,A72,3,single,A101,1,A124,46,A141,A152,1,A172,1,A191,A201,male,0
A11,21,A34,A40,2903,A61,A74,3,single,A101,3,A123,50,A143,A152,1,A173,1,A191,A201,male,0
A13,9,A34,A43,1654,A65,A73,3,single,A101,3,A121,24,A143,A152,1,A174,1,A191,A201,male,1
A14,19,A32,A49,985,A62,A75,3,single,A101,3,A123,24,A143,A152,1,A173,1,A192,A201,male,1
A12,37,A31,A46,7422,A61,A74,3,single,A103,3,A124,51,A141,A153,1,A172,1,A191,A201,male,0
A12,39,A34,A40,8442,A61,A72,3,single,A101,3,A124,45,A141,A151,1,A172,1,A191,A201,male,0
A14,9,A32,A40,1819,A65,A73,3,single,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,male,1
A11,5,A32,A42,454,A61,A72,1,single,A101,3,A121,21,A143,A151,1,A172,1,A192,A202,male,1
A14,37,A32,A42,3222,A63,A73,1,divorced/seperated/married,A101,3,A123,25,A143,A152,1,A173,1,A192,A201,female,1
A12,10,A32,A40,609,A61,A74,3,married/widowed,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,male,1
A14,15,A32,A42,1999,A63,A73,2,divorced/seperated/married,A101,3,A122,26,A143,A152,1,A173,1,A192,A201,female,1
A11,6,A32,A44,590,A61,A72,1,single,A101,1,A121,25,A143,A151,1,A172,1,A191,A202,male,1
A14,29,A33,A43,3294,A63,A73,1,divorced/seperated/married,A101,1,A121,31,A143,A152,1,A174,1,A192,A201,female,1
A11,8,A32,A40,1126,A64,A72,1,single,A101,1,A121,42,A143,A152,1,A172,1,A191,A202,male,1
A11,12,A32,A40,945,A61,A71,3,single,A101,3,A123,43,A143,A151,1,A173,1,A191,A201,male,0
A14,10,A32,A43,896,A61,A75,3,married/widowed,A101,1,A123,25,A143,A152,1,A173,1,A191,A201,male,1
A11,16,A34,A40,2241,A61,A71,3,single,A101,3,A124,51,A143,A151,1,A174,1,A192,A201,male,0
A13,9,A34,A43,1693,A65,A73,3,single,A101,3,A121,24,A143,A152,1,A174,1,A191,A201,male,1
A12,19,A34,A40,3503,A61,A72,3,single,A101,1,A121,45,A141,A152,1,A172,1,A191,A201,male,0
A12,16,A32,A43,2036,A62,A73,3,divorced/seperated/married,A101,3,A123,39,A143,A152,1,A172,1,A191,A201,female,1
A12,24,A33,A43,3037,A63,A73,1,divorced/seperated/married,A101,2,A121,34,A143,A152,1,A172,1,A192,A201,female,1
A11,15,A32,A49,477,A64,A75,3,divorced/seperated,A101,3,A122,31,A143,A152,1,A173,1,A192,A201,male,1
A11,11,A32,A40,2111,A61,A72,1,single,A101,1,A121,35,A141,A152,1,A172,1,A191,A201,male,0
A11,15,A32,A49,559,A62,A75,3,single,A101,3,A122,30,A143,A152,1,A173,1,A192,A201,male,1
A12,48,A34,A46,10571,A61,A72,3,single,A101,3,A124,50,A141,A151,1,A173,1,A191,A201,male,0
A11,13,A34,A42,2407,A61,A72,1,single,A101,2,A121,32,A141,A151,1,A172,1,A191,A201,male,0
A12,10,A32,A43,1325,A62,A74,3,divorced/seperated/married,A103,2,A121,49,A143,A152,1,A172,1,A191,A201,female,1
A14,15,A32,A40,2469,A65,A74,3,single,A101,2,A123,36,A143,A152,1,A173,1,A192,A201,male,1
A11,12,A32,A40,750,A61,A74,3,married/widowed,A101,2,A123,36,A143,A152,1,A173,1,A191,A201,male,0
A11,11,A32,A49,372,A64,A75,1,divorced/seperated,A101,3,A122,33,A143,A152,1,A173,1,A192,A201,male,1
A14,11,A32,A42,2891,A61,A73,3,married/widowed,A101,3,A122,22,A143,A152,1,A173,1,A191,A201,female,1
A14,9,A32,A40,763,A61,A74,3,married/widowed,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,male,1
A12,49,A34,A46,10559,A61,A71,3,single,A101,3,A124,51,A141,A153,1,A173,1,A191,A201,male,0
A11,11,A32,A40,1790,A61,A72,2,single,A101,1,A121,40,A141,A152,1,A172,1,A191,A201,male,0
A11,12,A32,A40,1945,A61,A72,3,single,A101,1,A121,41,A141,A152,1,A172,1,A191,A201,male,0
A11,9,A32,A49,438,A64,A73,2,divorced/seperated,A101,3,A122,33,A143,A152,1,A173,1,A192,A201,male,1
A14,10,A32,A40,1251,A61,A75,3,single,A101,1,A121,24,A143,A152,1,A173,1,A191,A201,male,1
A13,11,A34,A49,1159,A61,A73,3,single,A101,3,A122,28,A143,A152,1,A173,1,A191,A201,male,1
A14,11,A32,A40,3248,A65,A74,3,divorced/seperated/married,A101,2,A121,23,A143,A152,1,A173,1,A191,A201,female,1
A14,19,A32,A43,1571,A65,A75,3,single,A101,2,A123,23,A143,A152,1,A173,1,A192,A201,male,1
A14,10,A32,A40,1677,A65,A74,3,married/widowed,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,male,1
A11,17,A34,A40,2262,A61,A71,3,single,A101,3,A124,52,A143,A151,1,A174,1,A192,A201,male,0
A14,19,A33,A41,2981,A61,A74,3,married/widowed,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,male,1
A13,18,A34,A43,2768,A61,A73,3,divorced/seperated/married,A101,3,A123,40,A143,A152,1,A174,1,A191,A201,female,1
A11,7,A32,A40,863,A64,A72,1,single,A101,1,A121,36,A143,A152,1,A172,1,A191,A202,male,1
A12,44,A34,A40,9516,A61,A71,3,single,A101,3,A124,50,A141,A151,1,A174,1,A191,A201,male,0
A14,17,A32,A43,1678,A65,A75,3,single,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,male,1
A13,11,A34,A43,2153,A61,A73,3,single,A101,3,A121,24,A143,A152,1,A174,1,A191,A201,male,1
A14,11,A32,A43,1153,A65,A75,3,single,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,male,1
A11,13,A34,A48,801,A61,A74,3,married/widowed,A101,2,A123,37,A143,A152,1,A173,1,A191,A201,male,0
A14,24,A33,A43,2871,A63,A73,1,divorced/seperated/married,A101,1,A123,30,A143,A152,1,A174,1,A192,A201,female,1
A11,31,A34,A41,6531,A61,A74,3,single,A101,3,A124,57,A143,A153,1,A173,1,A191,A201,male,0
