Checking Account,Duration,Credit History,Purpose,Credit Amount,Savings,Present Employment Time,Installment Rate,Personal Status,Guarantors,Residence Time,Property,Age,Other Plans,Housing,Existing Credits,Job,Num of People,Telephone,Foreign Worker,gender,labels
A13,36,A34,A43,2442,A61,A75,3,single,A101,3,A124,64,A143,A153,1,A173,1,A192,A201,male,1
A13,31,A34,A43,1905,A61,A75,3,single,A101,3,A124,51,A143,A153,1,A173,1,A192,A201,male,1
A11,12,A32,A42,3134,A61,A72,1,divorced/seperated/married,A101,1,A122,25,A141,A152,1,A172,1,A191,A201,female,1
A12,11,A32,A43,4542,A61,A72,1,divorced/seperated/married,A103,1,A123,30,A141,A152,1,A173,1,A191,A201,female,1
A14,24,A34,A43,1384,A61,A75,3,single,A101,3,A124,39,A143,A153,2,A173,1,A192,A201,male,1
A11,8,A34,A42,1729,A61,A72,3,single,A101,1,A121,36,A143,A151,1,A174,1,A191,A202,male,1
A14,13,A32,A40,1977,A62,A72,3,divorced/seperated/married,A101,3,A122,27,A143,A152,1,A172,1,A191,A201,female,1
A14,20,A32,A49,3366,A64,A74,1,single,A101,2,A122,28,A143,A152,1,A173,1,A192,A201,male,1
A13,30,A34,A43,1899,A61,A75,3,single,A101,3,A124,68,A143,A153,1,A174,1,A192,A201,male,1
A11,11,A32,A42,812,A61,A73,3,married/widowed,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,male,0
A12,7,A32,A40,457,A65,A73,3,single,A101,3,A121,43,A143,A152,1,A172,1,A191,A201,male,1
A14,19,A34,A43,1232,A61,A74,1,single,A101,3,A123,24,A143,A152,2,A173,1,A192,A201,male,1
A12,10,A32,A42,3920,A61,A72,1,divorced/seperated/married,A101,1,A123,26,A141,A152,1,A173,1,A191,A201,female,1
A12,7,A32,A40,445,A61,A73,3,married/widowed,A101,3,A121,33,A143,A152,1,A172,1,A191,A201,male,1
A13,38,A34,A43,2241,A61,A75,3,single,A101,3,A124,58,A143,A153,1,A173,1,A191,A201,male,0
A11,38,A30,A45,1917,A61,A71,3,single,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,male,0
