Checking Account,Duration,Credit History,Purpose,Credit Amount,Savings,Present Employment Time,Installment Rate,Personal Status,Guarantors,Residence Time,Property,Age,Other Plans,Housing,Existing Credits,Job,Num of People,Telephone,Foreign Worker,gender,labels
A14,16,A34,A43,2531,A61,A73,1,divorced/seperated/married,A101,1,A123,23,A143,A152,1,A173,1,A191,A201,female,1
A12,29,A32,A49,4630,A62,A74,2,single,A101,1,A123,24,A143,A152,2,A173,1,A192,A201,male,0
A14,19,A34,A40,1237,A61,A74,3,single,A101,2,A124,24,A143,A152,2,A174,1,A192,A201,male,1
A14,12,A34,A40,1462,A61,A75,3,single,A101,3,A123,33,A143,A152,1,A173,1,A192,A201,male,1
A14,20,A32,A42,1973,A64,A73,3,single,A101,2,A121,40,A143,A152,1,A172,1,A192,A201,male,1
A13,16,A30,A40,4782,A61,A71,3,single,A101,4,A124,49,A141,A153,1,A174,1,A192,A201,male,0
A12,30,A32,A43,4909,A61,A73,2,divorced/seperated/married,A101,1,A124,34,A143,A153,1,A172,1,A191,A201,female,1
A11,39,A30,A43,1952,A61,A75,3,single,A101,3,A121,41,A143,A152,1,A173,1,A191,A201,male,0
A12,9,A32,A43,2317,A65,A73,1,single,A101,2,A121,26,A143,A152,1,A173,1,A192,A201,male,1
A12,42,A32,A40,2073,A65,A73,3,divorced/seperated/married,A101,3,A122,23,A143,A152,1,A174,1,A192,A201,female,0
A12,47,A32,A40,4421,A62,A73,3,divorced/seperated/married,A101,3,A122,24,A141,A152,1,A173,1,A192,A201,female,0
A11,6,A32,A43,809,A61,A72,3,divorced/seperated/married,A101,3,A122,28,A143,A151,1,A173,1,A192,A201,female,1
A12,33,A32,A43,3150,A62,A73,3,divorced/seperated/married,A101,1,A121,24,A143,A152,1,A172,1,A192,A201,female,1
A13,10,A32,A43,809,A61,A73,3,single,A101,2,A121,30,A143,A152,1,A173,1,A191,A201,male,1
A11,45,A32,A43,2103,A61,A73,3,single,A101,3,A121,33,A143,A152,1,A172,1,A191,A201,male,0
A12,48,A33,A49,10222,A61,A73,1,single,A101,2,A123,21,A143,A152,2,A174,1,A192,A201,male,0
A14,17,A32,A43,3185,A61,A73,1,single,A101,1,A121,26,A143,A151,1,A173,1,A191,A201,female,1
A14,15,A32,A40,3243,A61,A72,2,divorced/seperated/married,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,female,0
A14,23,A32,A43,6419,A61,A74,2,single,A102,1,A124,36,A143,A152,1,A172,1,A191,A201,male,0
A14,27,A34,A40,2031,A61,A75,3,single,A101,3,A121,57,A141,A152,1,A173,1,A192,A201,male,1
A14,17,A34,A40,2467,A61,A74,3,divorced/seperated/married,A101,3,A123,39,A143,A151,1,A173,1,A192,A201,female,0
A14,33,A34,A43,4535,A61,A71,3,single,A101,3,A124,53,A141,A152,2,A174,1,A192,A201,male,1
A11,24,A32,A40,3081,A61,A73,3,divorced/seperated/married,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,female,0
A14,17,A32,A49,4414,A65,A73,2,single,A101,2,A123,46,A143,A152,1,A173,1,A192,A201,male,1
A14,31,A32,A40,6248,A61,A73,3,single,A101,3,A123,34,A143,A152,1,A173,1,A192,A201,male,1
A14,28,A34,A40,4852,A62,A73,3,divorced/seperated/married,A101,3,A123,38,A143,A152,1,A173,1,A191,A201,male,1
A14,34,A34,A40,3299,A61,A75,3,single,A101,3,A123,53,A143,A152,1,A173,1,A192,A201,male,1
A14,10,A34,A40,4224,A61,A72,1,single,A101,1,A122,24,A142,A152,1,A173,1,A191,A201,male,0
A14,15,A32,A42,2213,A61,A73,2,single,A101,2,A122,33,A143,A152,1,A173,1,A191,A201,male,1
A14,26,A34,A41,3568,A61,A75,3,single,A101,3,A123,34,A143,A152,2,A172,1,A191,A201,male,1
A12,19,A33,A40,3177,A61,A75,1,single,A101,2,A123,24,A143,A152,2,A173,1,A191,A201,male,1
A13,30,A34,A41,3816,A61,A75,2,single,A101,3,A124,44,A143,A153,2,A173,1,A192,A201,male,1
A14,29,A34,A43,1533,A62,A74,3,married/widowed,A101,2,A122,43,A141,A152,1,A172,1,A192,A201,male,1
A14,24,A34,A43,862,A62,A74,3,divorced/seperated/married,A101,1,A122,33,A143,A152,1,A173,1,A192,A201,female,1
A11,15,A31,A43,2588,A61,A73,3,divorced/seperated/married,A101,1,A123,25,A143,A152,1,A173,1,A191,A201,female,1
A14,32,A32,A40,2091,A65,A75,3,married/widowed,A101,3,A123,52,A143,A152,1,A173,1,A192,A201,male,1
A14,28,A32,A43,4177,A61,A73,1,divorced/seperated/married,A101,1,A124,21,A143,A152,1,A173,1,A191,A201,female,1
A14,39,A34,A40,2582,A62,A75,3,married/widowed,A101,2,A124,29,A141,A152,1,A173,1,A191,A201,male,0
A11,10,A34,A43,1526,A61,A73,3,single,A101,3,A121,53,A143,A152,1,A172,1,A191,A201,male,0
A12,21,A32,A42,2375,A61,A72,3,divorced/seperated/married,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,female,1
A12,21,A31,A40,6075,A62,A73,1,single,A101,3,A122,37,A141,A152,1,A173,1,A192,A201,male,1
A14,28,A34,A40,4047,A62,A74,3,single,A101,2,A124,21,A141,A152,1,A173,1,A191,A201,male,1
A12,35,A32,A49,6419,A61,A74,1,single,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,male,0
A11,13,A34,A43,3653,A61,A73,1,divorced/seperated/married,A101,1,A124,20,A143,A152,1,A173,1,A192,A201,female,1
A11,4,A32,A43,355,A61,A73,3,divorced/seperated/married,A101,2,A121,43,A143,A152,1,A172,1,A191,A201,female,1
A11,11,A32,A43,2296,A61,A72,3,single,A101,3,A122,25,A143,A151,1,A173,1,A191,A201,male,0
A11,36,A32,A45,1416,A61,A75,3,divorced/seperated/married,A101,3,A121,28,A143,A151,1,A174,1,A192,A201,female,0
A11,7,A32,A43,419,A61,A72,3,divorced/seperated/married,A101,2,A122,25,A143,A151,1,A173,1,A191,A201,female,1
A14,21,A32,A40,6464,A61,A71,2,single,A101,2,A124,44,A143,A152,1,A174,1,A192,A201,male,1
A11,11,A32,A43,1502,A61,A73,3,single,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,male,1
A14,10,A32,A48,286,A61,A75,4,married/widowed,A101,3,A122,45,A141,A152,1,A172,1,A192,A201,male,1
A14,30,A33,A41,6680,A61,A73,1,single,A101,2,A123,20,A143,A152,2,A173,1,A192,A201,male,1
A14,41,A34,A43,6563,A61,A73,2,single,A101,1,A123,20,A142,A152,2,A173,1,A192,A201,male,1
A12,10,A32,A42,1961,A61,A72,2,divorced/seperated,A101,1,A122,39,A143,A152,1,A173,1,A191,A201,male,1
A14,13,A32,A42,4228,A61,A72,2,divorced/seperated/married,A101,3,A122,29,A143,A151,1,A173,1,A191,A201,female,0
A12,20,A32,A42,3878,A61,A72,3,single,A101,3,A123,39,A143,A152,1,A173,1,A192,A201,male,0
A12,12,A34,A40,2637,A65,A71,3,single,A101,3,A122,61,A141,A152,1,A174,1,A192,A201,male,1
A12,12,A34,A43,2499,A61,A72,3,divorced/seperated/married,A101,3,A123,27,A143,A151,2,A173,1,A192,A201,female,1
A13,37,A32,A43,1870,A61,A73,3,single,A101,2,A123,22,A143,A153,1,A172,1,A191,A201,male,1
A12,39,A32,A41,7667,A62,A74,2,single,A101,1,A123,23,A143,A152,1,A173,1,A192,A201,male,0
A14,26,A34,A43,5078,A61,A73,1,single,A101,2,A123,21,A143,A152,2,A173,1,A192,A201,male,1
